ORDER_DATE,TOTAL_ORDERS,TOTAL_REVENUE
2018-03-04,228,30922.02
2018-03-05,252,36822.59
2018-03-06,268,38217.79
2018-03-07,254,35398.91
2018-03-08,227,27521.60
2018-03-09,197,27192.76
2018-03-10,185,25262.49
2018-03-11,215,31078.58
2018-03-12,228,30082.26
2018-03-13,217,34400.25
2018-03-14,195,22466.81
2018-03-15,272,41686.36
2018-03-16,242,31928.74
2018-03-17,176,19725.21
2018-03-18,211,30582.35
2018-03-19,293,43419.19
2018-03-20,292,35076.97
2018-03-21,277,39133.58
2018-03-22,249,30400.87
2018-03-23,209,26706.66
2018-03-24,163,23584.87
2018-03-25,188,25336.31
2018-03-26,266,35008.82
2018-03-27,239,33609.86
2018-03-28,210,26972.14
2018-03-29,188,28336.37
2018-03-30,163,21871.83
2018-03-31,164,24386.83
2018-04-01,201,28553.63
2018-04-02,274,39041.32
2018-04-03,243,36107.92
2018-04-04,252,36706.21
2018-04-05,261,35763.14
2018-04-06,181,26528.26
2018-04-07,161,24874.10
2018-04-08,183,23212.85
2018-04-09,250,48922.94
2018-04-10,196,27416.11
2018-04-11,262,38318.13
2018-04-12,253,33952.78
2018-04-13,197,29605.91
2018-04-14,145,18776.70
2018-04-15,219,30171.31
2018-04-16,276,39973.23
2018-04-17,258,33777.37
2018-04-18,271,38231.89
2018-04-19,287,42749.34
2018-04-20,192,27176.04
2018-04-21,154,18839.36
2018-04-22,199,27171.00
2018-04-23,283,37135.47
2018-04-24,265,42219.08
2018-04-25,279,40621.40
2018-04-26,250,31263.86
2018-04-27,237,39552.35
2018-04-28,166,22511.91
2018-04-29,168,19156.84
2018-04-30,235,35203.64
2018-05-01,252,32695.00
2018-05-02,287,36451.83
2018-05-03,300,40915.77
2018-05-04,262,38990.96
2018-05-05,192,27825.16
2018-05-06,206,27800.55
2018-05-07,363,52726.03
2018-05-08,323,47145.80
2018-05-09,335,42308.13
2018-05-10,273,49689.88
2018-05-11,244,37785.29
2018-05-12,200,28736.13
2018-05-13,205,31203.52
2018-05-14,355,52633.10
2018-05-15,348,40879.52
2018-05-16,351,55562.13
2018-05-17,224,30876.73
2018-05-18,232,30941.63
2018-05-19,137,25052.39
2018-05-20,158,19163.58
2018-05-21,199,24546.19
2018-05-22,195,27229.09
2018-05-23,132,17501.05
2018-05-24,113,20023.26
2018-05-25,103,15888.92
2018-05-26,99,14799.17
2018-05-27,100,12523.25
2018-05-28,142,26702.47
2018-05-29,149,25572.08
2018-05-30,138,18994.80
2018-05-31,132,24381.28
2018-06-01,184,32298.92
2018-06-02,141,25216.62
2018-06-03,189,28096.96
2018-06-04,222,28209.01
2018-06-05,196,30524.36
2018-06-06,227,26134.40
2018-06-07,223,37020.40
2018-06-08,195,26161.02
2018-06-09,169,29172.11
2018-06-10,190,25360.34
2018-06-11,294,49669.70
2018-06-12,244,40267.20
2018-06-13,253,33791.84
2018-06-14,211,27369.60
2018-06-15,182,26313.76
2018-06-16,162,24287.17
2018-06-17,151,17238.33
2018-06-18,243,33724.50
2018-06-19,228,34103.02
2018-06-20,216,28722.99
2018-06-21,232,27595.68
2018-06-22,177,24567.23
2018-06-23,149,17397.05
2018-06-24,198,24303.60
2018-06-25,238,35346.52
2018-06-26,238,30420.59
2018-06-27,214,26496.48
2018-06-28,239,30681.00
2018-06-29,171,20277.58
2018-06-30,123,15309.88
2018-07-01,159,23885.47
2018-07-02,193,22872.20
2018-07-03,214,26102.52
2018-07-04,251,35149.77
